comment,label_5_classes
Rất đáng tiền.,Tuyệt vời
Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Shop phục vụ rất tốt Rất đáng tiền Rất đáng tiền.,Tuyệt vời
"Chất lượng sản phẩm tuyệt vời, Thời gian giao hàng rất nhanh, Shop phục vụ rất tốt, Rất đáng tiền..",Tuyệt vời
"Áo sọc đen: Chất thun ok, có điều sọc cam thực tế sáng hơn trong hình.",Tốt
"Áo hơi mỏng nhưng mặc đẹp, dây của áo hoàn thiện ko đc tốt cho lắm, mong shop khắc phục.",Tốt
Chất lượng sản phẩm tuyệt vời.,Tuyệt vời
Sản phẩm kém chất lượng .ko đáng tiền.,Tuyệt vời
"Đặt đỏ đô thì giao hồng choé, đặt dài tay thì giao cộc tay.",Tệ
Thời gian giao hàng nhanh Đóng gói sản phẩm chắc chắn Shop phục vụ khá tốt.,Tuyệt vời
Hư 1 bên tai.,Rất tệ
Cảm ơn shop nh ạ 💛💚💙❤.,Tuyệt vời
"Áo vải tạm được, mặc nóng.",Bình thường
Áo giống với hình shop đăng tuy nhiên chất vải hơi nóng.,Tốt
"Chưa sử dụng nên chưa đánh giá về chất lượng được nhưng khi nhận hàng thì bao bì ok, chất lượng đánh giá sau.",Bình thường
"Chất vải áo đẹp, mẫu y hình, sản phẩm rất ok Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền Rất đáng tiền.",Tuyệt vời
Sp hơi cứng.,Bình thường
Chất lượng phù hợp giá.,Bình thường
Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền Rất đáng tiền.rất ok nhưng tiếc là mình 52kg k mặc đc size M.,Tuyệt vời
Thời gian giao hàng rất nhanh.,Tuyệt vời
Áo mặc rất mát.,Tuyệt vời
Thời gian giao hàng rất nhanh.,Tuyệt vời
chuẩn men.,Tuyệt vời
"Chất thấm hút tốt, màu k đẹp lắm.",Tốt
"Chất lượng sản phẩm rất kém, tôi đã làm theo hướng dẫn trả hàng và bên shop nói với tôi như thế sẽ gây khó khăn khi giao nhận của shop nên bấm hủy trả hàng và gởi hàng lại địa chỉ nơi gởi kèm thu hộ COD cho nhanh. kết quả là bên shop không nhận lại hàng và bên shopee không thể quyết vì quá thời gian.",Tuyệt vời
Ship Nhanh vs Lại Gói Hàng Cẩn Thận Lắm.,Tuyệt vời
❌ Chất lượng sản phẩm tuyệt vời.,Tuyệt vời
Chất lượng sản phẩm tuyệt vời oke lắm.,Tuyệt vời
Củ.,Bình thường
So với giá thì chất lượng sp quá tốt!,Tốt
"chưa bao giờ mình thấy ng bán gửi hàng nhanh như vậy, chỉ sau 2p mình tạo đơn hàng, quẹt thẻ, đã thấy hàng đc đóng gói và gửi đi rồi :))) (19h34 tạo đơn hàng, 19h36 hàng đã giao cho giao hàng nhanh 😃).",Tuyệt vời
Sp tốt so vs giá thành.,Tệ
Giao hàng cực nhanh luôn.,Tuyệt vời
"Áo đẹp ngoài mong đợi, chất vải đẹp, co dãn tốt.",Tuyệt vời
"Shop giao hàng nhanh, tư vấn nhiệt tình.",Tuyệt vời
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh có chút nhầm hàng cần chú ý hơn.,Tuyệt vời
Chất lượng sản phẩm tuyệt vời quá đẹp.,Tuyệt vời
Mình báo shop lấy size S shop lại chuyển hết size M.,Bình thường
size M dành cho dưới 50 kg mà mình 47 kg mặc rộng quá.Chất vải mềm mùa hè mặc thoáng.,Tuyệt vời
Chất lượng sản phẩm tạm được Đóng gói sản phẩm tạm được Shop phục vụ tạm được Giá cả chấp nhận được Giá cả chấp nhận được Thời gian giao hàng tạm được.,Tốt
"hàng kém , không giống hình.",Rất tệ
Hàng đẹp như hình..,Tuyệt vời
"Áo vải đẹp, màu đẹp, co dãn tốt.",Tuyệt vời
Thời gian giao hàng rất nhanh.,Tuyệt vời
Quần và áo gói trong túi zip riêng khá chất lượng.,Rất tệ
Hàng đẹp ưng ý.,Tuyệt vời
Shop phục vụ rất tốt.,Tuyệt vời
Rất đáng tiền nhung thoi gian shop gui hang cham.,Tốt
Chất lượng sản phẩm tuyệt vời Nhưng hơi dài.,Tốt
"Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh, sản phẩm rất đẹp , chất lượng rất ok.LẦN SAU MK SẼ MUA TIẾP. ❤❤❤.",Tuyệt vời
"đầm đẹp. form chuẩn y hình . nếu ai còn đang đắn đo. xin đừng ngần ngại, Rất đáng tiền Shop phục vụ rất tốt.",Tuyệt vời
Rất không đáng tiền Đóng gói sản phẩm rất kém Chất lượng sản phẩm rất kém.,Rất tệ
Sẽ ủng hộ shop nữa.,Tuyệt vời
Áo lên dáng rất đẹp.,Tuyệt vời
"Chất đẹp, màu y hình, xinh xắn .",Tuyệt vời
Lần sau ủng hộ tiếp dài dài.,Tuyệt vời
"Chán chà buồn mặc , chả buồn đổi vì lỡ giặt rồi.",Bình thường
Áo lót giống hình Thời gian giao hàng rất nhanh.,Tuyệt vời
"Vải đẹp, có điều giao áo bị mất nút cài rồi.",Tốt
Phân phát cho không họ bảo không dùng loại này.,Bình thường
"Hộp bị hư, đóng gói không chất lượng bù lại hình rất đẹp.",Tuyệt vời
Còn vans thì bình thường mình đi 36 hoặc 37 đều ok nhưng nay lấy 36 thì rộng quá @@.,Bình thường
"mềm mềm cưng lắm ạ, Shop giao hơn lâu thui😄.",Tuyệt vời
"sản phẩm tốt, tuy dây kéo hơi dở chút nhưng tiền nào của nấy với giá 99k thì quá ok.",Tuyệt vời
Shop phục vụ rất tốt.,Tuyệt vời
Moi nhân ma giày da bị bỏng kéo ở mũi giày.vien giày có dãn keo nham nho mấy chỗ.dung là hàng giảm giá.,Rất tệ
màu này là màu hồng à?,Tệ
Hàng của mk bị vỡ mk gọi cho ai shop ơi.,Bình thường
"Lau thì sạch, mà chạy hơi lộn xộn, chắc chưa quen.",Bình thường
Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền.,Tuyệt vời
Giá hợp lý.,Tuyệt vời
"váy đẹp, chất mặc dễ chịu.",Tuyệt vời
Hộp hình thì của người ta là 60 tấm hộp này có 30 tấm à.,Bình thường
Vải đẹp ☺️☺️.,Tốt
Chất lượng sản phẩm tuyệt vời; dày dặn; mịn; sẽ ủng hộ shop dài.,Tuyệt vời
Shop có thể đổi áo cho mình ko?,Bình thường
Chất vải mịn đẹp.,Tuyệt vời
Quần có dãm.,Tuyệt vời
Nên mua size lớn hơn dự tính tí.,Tuyệt vời
Vợ khen là được :3,Tuyệt vời
"Chất lượng tạm được , đường may kg sắc sảo,.",Rất tệ
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh😋😋.,Tuyệt vời
"áo đẹp, hợp vs giá tiền.",Tốt
Chất áo cực hịn luôn và dáng chất lừ luôn!,Tuyệt vời
"Áo đẹp, đóng gói đẹp.",Tuyệt vời
Tks shop.,Tuyệt vời
Áo in sai chính tả 😂😂😂😂 Chất lượng sản phẩm tạm được.,Tốt
Hàng đẹp đúng mẫu.,Tuyệt vời
Chất lượng sản phẩm tuyệt vời.,Tuyệt vời
áo mặc rất vừa người ko rộng cũng ko chặt.,Tuyệt vời
Đặt 4 món mới giao 3 món.,Tệ
Chưa ăn bao jo chỉ nghe bảo mẹ bầu ăn tốt cho thai nên mua.,Tốt
Quan đẹp.,Tốt
Áo sơ vin lên xinh lắm shop ạ.,Tuyệt vời
Không đẹp 😔😡.,Bình thường
Chất lượng sản phẩm tốt.,Tuyệt vời
Shop phục vụ rất tốt.,Bình thường
quà tết của shop ^^,Tuyệt vời
Nem đam đa xi nua la ok nhung thieu nấm.,Bình thường
Không ra màu.,Bình thường
Đây là lần đầu và cũng là lần cuối mình sử dụng sản phẩm của shop này!,Rất tệ
Sẽ ủng hộ shop trong thời gian tới.,Tuyệt vời
Chất lượng sản phẩm tuyệt vời.,Tuyệt vời
Mình thật sự rất hài lòng.,Tuyệt vời
Chân váy xinh lắm.,Tuyệt vời
Rất đáng tiền tiếc là mặc ko rộng rãi như mong muốn.,Tốt
Chất vải k đc đẹp lắm.,Tệ
Áo quá bé và ngắn so với hình ảnh.,Rất tệ
Cảm ơn các bạn vì sự nhiệt tình.,Tuyệt vời
Shop phục vụ rất kém m báo size m lại gửi sz s nt với shop mà ko trả lời.m đành bỏ xó cái quần vì ko ních vừa.,Tệ
"Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Thời gian giao hàng rất nhanh,vải dày dặn,rất đẹp.",Tuyệt vời
hàng chất lượng đồ cx rất oke.,Tuyệt vời
Hình in rõ thêu cũng khá đẹp.,Tuyệt vời
Cơ mà vẫn ok.,Tuyệt vời
Mỗi tội cỡ L mà ngắn quá.,Bình thường
K hài lòng.,Rất tệ
Nên check size kỹ với chủ shop để có đc cỡ vừa ý.,Tuyệt vời
Hàng giống hình.,Tuyệt vời
Với giá này hàng rất tốt.,Tuyệt vời
Chất lượng đúng với giá thành.,Tốt
Sản phâm cũng được.,Tốt
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn.,Tuyệt vời
"Áo đẹp y hình, giá quá tốt.",Tuyệt vời
Giày dễ thương quá ạ😘.,Tuyệt vời
Chất thì đc.,Tuyệt vời
N ma vẫn cho shop 5sao.,Tuyệt vời
Có khi phải mua thêm cái nữa ...,Tuyệt vời
Tuyệt vời shop ơi.,Tuyệt vời
Hàng đẹp y hình 👍👍👍👍.,Tốt
Giá tiền so với chất lượng tốt hơn rất nhiêgu.,Bình thường
Chất vải chưa đẹp lắm nhưng dù s như thế là hợp với giâ tiền rồi.,Tốt
Chất lượng sản phẩm tuyệt vời ..Đóng gói sản phẩm rất đẹp và chắc chắn..rẻ mà chất.,Tuyệt vời
Thời gian giao hàng rất nhanh.,Tuyệt vời
Sịp xinh + mềm 💯.,Tốt
Ko cần bàn phím.,Bình thường
Chất oki nhưng dáng áo hơi chán Đóng gói sản phẩm rất đẹp và chắc chắn.,Tốt
Time giao hàng nhanh.!,Bình thường
Gói hàng hết hạn.,Rất tệ
Mình mặc size 27 mà lấy size 28 vẫn khong vừa.,Rất tệ
Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời.,Bình thường
Xẹp lép ko giống như hình sản phẩm.,Bình thường
Chất lượng quá tốt so với giá tiền.,Tuyệt vời
diệt kiến rất tốt !!!!,Tuyệt vời
Vải đẹp ạ😍😍.,Bình thường
Chất lượng sản phẩm tuyệt vời.,Tuyệt vời
Thời gian giao hàng rất nhanh.,Tuyệt vời
Chất lượng sản phẩm tuyệt vời áo đẹp lắm shop nha.,Tốt
Chất lượng sản phẩm tuyệt vời.,Tuyệt vời
Nhưng shop giao hàng còn chưa chính xác size lắm.,Bình thường
Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt.,Tuyệt vời
Đường may đẹp.,Tuyệt vời
"Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Vải co giãn tốt, quần ôm sát, form đẹp, điểm cộng to bự là shop có bảng chọn size theo số đo vòng nên lựa chọn chuẩn xác hơn là chỉ dựa vào cân nặng và chiều cao.",Tuyệt vời
Thời gian giao hàng rất nhanh Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời Rất đáng tiền Shop phục vụ rất tốt.,Tuyệt vời
"Quần chất mềm mịn, nhưng đũng ngắn đáp bụng cũng ngắn mặc hay bị tuột :(( may mua 1 cái mặc thử, chắc k mặc đc nhiều.",Tuyệt vời
Rất đẹp ạ.,Tuyệt vời
Nhưng giá chỉ 65k thì quá okie r.,Tuyệt vời
Mới sài chưa biết thế nào.,Tuyệt vời
Tại em mình ở Hand có bộ Inisfree gửi về vẫn đang dùng dở nên chưa dùng.,Tốt
"Hàng chất đẹp, mát, chắc chắn, giống y ảnh.",Tuyệt vời
Sử dụng rất thích.,Tuyệt vời
Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh.,Tuyệt vời
Chân vay 3 tầng thì vừa chứ chân vay karo chật.,Bình thường
Áo đen shop giao xanh đen.,Bình thường
"size XL ma 52 kg mac k vua,chat qua.",Tệ
"Áo rộng rãi nhưng mỏng hơn mình nghĩ, chất kiểu như kaki pha nylon.",Tốt
Thank shop.,Tuyệt vời
Chất lượng sản phẩm tạm được.,Bình thường
"Ưng ý shop gửi hàng đúng mẫu, chất lượng tốt so vs giá nè, mỗi tội hết mẫu mình ưng 😢phải lựa mẫu khác trong ib.",Tuyệt vời
Giao sai màu.,Tốt
"Shop gửi nhầm mầu cho mình, hàng ok ak.",Bình thường
"Áo đẹp quá shop ơi mình rất thích, chất vải rất ok.",Tuyệt vời
Vai dc.,Tuyệt vời
Chất lượng sản phẩm tạm được Vải hơi mỏng.,Tốt
Chat.lượng tốt...nhưng ống tay hoi rộng ko dc bó...,Bình thường
Chất lượng sản phẩm tuyệtvời dep dong goi chac chan.,Tuyệt vời
Thời gian giao hàng rất nhanh.,Tốt
Kiểm tra hàng kỹ trc khi gởi.,Tốt
Chất lượng tuyệt vời.,Tuyệt vời
Thời gian giao hàng rất nhanh Shop phục vụ rất tốt Shop phục vụ rất tốt Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền.,Tuyệt vời
Đợi miết rốt cuộc giao nhầm sản phẩm khác cho mình.,Rất tệ
Chất lượng sản phẩm tuyệt vời.lần sau sẽ ủng hộ tiếp.,Tuyệt vời
Mình rất thích .. chất áo vừa tiền.,Tuyệt vời
Chất tạm đc phù hợp vs giá tiền.mình đã dặn shop là gửi đúng màu cho mình mà shop lại gửi cho m 2 cái màu giống nhau😟.,Tốt
Chất liệu lần này k đẹp như lần trc.,Bình thường
"Quần xấu không đẹp khônh giống hình- tuy nhiên đã hoàn lại được tiền, Chất lượng sản phẩm rất kém.",Rất tệ
Chất lượng sản phẩm vừa với giá tiền.,Tuyệt vời
Chất lượng sp tạm được.,Bình thường
Giá cả hợp lí.,Tuyệt vời
50 kg mặc size M khá ôm.,Tuyệt vời
Hình in ngoài sau hơi nhạt Shop phục vụ khá tốt Thời gian giao hàng nhanh.,Bình thường
"Chất vải đẹp, giống hình, nhưng form hơi rộng so với size.",Bình thường
"Chip chất lượng, đẹp từ màu sắc, học tiết đễn chất cotton nhé.",Tuyệt vời
Form đẹp.,Tuyệt vời
Thời gian giao hàng rất nhanh.,Tuyệt vời
Loveeeeee ❤️.,Tốt
"giống ảnh, chất đẹp, giao hàng nhanh.",Tuyệt vời
"Chất mịn, mát, mỗi tội chất này dễ bị nhăn, nói chung là phù hợp giá tiền.",Tệ
"Chất lượng sản phẩm rất kém ,áo đen giao bị rách 1 lỗ.",Rất tệ
"chất vải đẹp, tư vấn chuẩn size Thời gian giao hàng rất nhanh.",Tuyệt vời
Chất lượng sản phẩm tuyệt vời.,Tuyệt vời
Vải ổn mà Rộng quá mặc ko đc 😭😭😭.,Bình thường
Thật ko biết nói sao khi đưa áo cho cô đồng nghiệp hơn 50 tuổi.,Bình thường
Không cho vào và kéo ra được.,Bình thường
Chất đẹp phom to thoải mái giá hộp lý.,Tuyệt vời
Giá tiền quá rẻ.,Tuyệt vời
Thích nhất là phần eo.,Tuyệt vời
bảo siri L gửi siri M.,Rất tệ
Cám ơn shop nhiều nhé.,Tuyệt vời
Chất lượng sản phẩm tuyệt vời......có quà tặng kèm nữa ạ .....yêu quá 😍.,Tuyệt vời
Thanks shop nhé.,Tuyệt vời
Hàng đẹp y hình rộng rãi thoải mải sẽ ủng hộ nua.,Tệ
Áo bị rách nách.,Tốt
Áo đẹp quá.,Tốt
🤣🤣🤣.,Tệ
Chị chủ tư vấn nhiệt tình.,Tốt
À riêng chăm sóc khách hàng thì phải cho c chủ shop 1 tỉ ⭐️⭐️⭐️⭐️⭐️⭐️⭐️.,Tuyệt vời
Ko có time nên ko chụp hình đc.,Bình thường
Máy chụp rất ok.,Tuyệt vời
Mình thì thích hơi rộng. 😁.,Bình thường
"Không biết giặt có bị phai không nhưng về cơ bản mình rất ưng, sau có dịp sẽ ủng hộ shop tiếp.",Tuyệt vời
Mình rất ốm mà còn mặc size 34 k vừa.,Bình thường
Dây nịt ngực trong suốt rách ko dùng đc 1 lần nào.,Rất tệ
Shop ship nhầm màu nhưng cho ship lại đúng màu luôn mà mình còn đang giữ hộ shop bộ nhầm.,Bình thường
Hàng đẹp chất lượng kém bị vào nc.,Tệ
Đáng mua đấy mn.,Tuyệt vời
tất vải thừa và mau giãn ...,Rất tệ
Chất vải đẹp.,Tuyệt vời
"Chất lượng sản phẩm tuyệt vời, rẻ và đẹp.",Tuyệt vời
Rất hài lòng.,Tuyệt vời
Hang dep Shop phục vụ rất tốt Rất đáng tiền.,Tuyệt vời
"Chất lượng sản phẩm tuyệt vời, ok.",Tuyệt vời
Cho đủ màu.,Tuyệt vời
Mình mặc mẫu ý cũng đc.,Tốt
"Shop nên cho chọn size,vì đặt mua xog thì shop đưa size nhỏ nên không vừa.",Tệ
Sẽ theo shop dài dài.,Tuyệt vời
"Tối đặt sáng có, quá nhanh quá tỉ mĩ.",Rất tệ
dây đeo hơi ngắn .,Bình thường
"Tuy vậy nhưng màu này mặc cũng ưng, vải ưng luôn vì mịn, dạng giống voan cát nên k nhăn.",Tốt
Giao hàng chưa đúng yêu cầu màu sắc.,Bình thường
"Chất vải rất xấu k giống chất vải quần xám dày dặn, mặc lên mỏng dính ngứa ngáy thô ráp rất khó chịu.",Rất tệ
Hàng giống hình.,Tuyệt vời
Vải chất lượng ok.chị chủ shop nhiệt tình.,Tuyệt vời
Hàng đẹp mặc dù tấm mác ở sau gáy có hơi to nhưng ko sao.,Tuyệt vời
Chất lượng sản phẩm tuyệt vời.!,Tuyệt vời
Áo y hình.,Tốt
Đóng gói sản phẩm chắc chắn Đáng đồng tiền Chất lượng sản phẩm tốt.,Tuyệt vời
"hàng xấu tệ,mình hầu như không chê trách ai bao giờ nhưng shop làm việc vậy là rất bậy,áo như là giẻ lau nhà vậy...",Rất tệ
"Mặc nhẹ, vải ko trơn k bóng như m nghĩ.",Tuyệt vời
Quá rộng.,Tệ
"Thời gian giao hàng nhanh. dáng áo ok nhưng nhão, chạm đâu cũng bj rút sợi.",Bình thường
Hơi rộng để tới bầu lớn mặc vẫn ok.,Tuyệt vời
Tặng sinh nhật bạn mình rất thik!,Tuyệt vời
Với giá tiền như vậy sp tạm ổn.vải đẹp nhưng mình mặc hơi chật.,Tuyệt vời
Sop làm ăn k uy tín.,Rất tệ
Vải đẹp.,Tuyệt vời
"Còn lại chất đẹp, khá ưng ý.",Tốt
Thời gian giao hàng rất nhanh.,Tuyệt vời
"Thời gian giao hàng chậm , chất lượng sp tạm được .",Bình thường
"Thời gian giao hàng rất nhanh, quần bị lỗi nhưng mình chủ động mang sửa cho nhanh.",Tuyệt vời
Chất lượng sản phẩm tốt mềm rất ok.,Tuyệt vời
Chất lượng sản phẩm tạm được.,Tốt
Hình mẫu lông bên trong màu đen mà gửi lông màu trắng cho khách.,Bình thường
"Áo nhiều chỉ thừa, độ hoàn thiện kém, vải mỏng,mong shop cải thiện chất lượng sản phẩm :( Rất đáng tiền.",Tốt
"Đã hủy xanh ngọc lấy màu ghi nhưng shop giao màu xanh ngọc cũng rất ưng, màu rêu đậm cũng khá ok.",Tuyệt vời
Thời gian giao hàng quá chậm bên vận chuyển chua hen khach ma bao khach hẹn điêu toa.,Tệ
"Sản phẩm rất đẹp, chúc shop bán đắt.",Tuyệt vời
"Độ bám không cao, shop cho mình cái túi thật sự không cho thảm vào đc.",Bình thường
Shop rất nhiệt tình.,Tuyệt vời
Giống hình 90% rồi.,Tốt
Chất lượng sản phẩm tuyệt vời.,Tuyệt vời
Sản phẩm hơi lỗi nhưng chất lượng tốt.,Tuyệt vời
Đóng gói sản phẩm rất đẹp và chắc chắn.shop nhiệt tình dễ thương.,Tuyệt vời
"Hàng mình yêu cầu là mẫu chấm bi thì hết, shop tự ý giao mẫu khác ko thèm hỏi ý kiến mình, lúc đầu còn không xin lỗi vì tự ý đổi mẫu, sau mình nói mới xin lỗi.",Rất tệ
Đặt mua nhẫn thì lại giao một sợi xích.,Tệ
_giày đẹp lắm ạ..nhưng giao sai mất màu...ci chủ shop nhiệt tình giải quyết sai sót...đã mua rất nhiều lần và rất ưng ý...mong lần sau ci để ý hơn trk khi giao 😘😍.,Tốt
Áo không như hình.,Bình thường
Đàn đẹp lắm ạ.,Tuyệt vời
Váy đẹp mà rẻ.,Tuyệt vời
Mình chưa dùng nhưng nhìn hộp bé tẹo à.,Tốt
Áo giống hình.,Tuyệt vời
"Chất lượng sản phẩm tuyệt vời , Shop phục vụ rất tốt ,thời gian giao hàng rất nhanh.",Bình thường
Vải mỏng Chất lượng sản phẩm tạm được.,Tốt
Áo đẹp !,Tuyệt vời
"Shop phục vụ rất tốt, nhiệt tình tư vấn.",Tuyệt vời
Tạm đuóc.,Bình thường
Shop phục vụ khá tốt Nhưng giao thiếu mất cái khuy tròn cho mình 😭.,Bình thường
Rất hài lòng!.,Tuyệt vời
Áo ko giống trong hình ko có túi.,Bình thường
HÀNG Y NHƯ HÌNH.,Tuyệt vời
"Quần đẹp, vải dày dặn, mình 46kg đặt size M mà thấy ôm lắm ko biết vài bữa bầu to mập lên mặc được ko nữa.",Tốt
Có 1 bộ bị rách shop khắc phục lỗi này nhé.,Tệ
Quần bị dính cao su.,Tệ
"Mình mua trên shopee rất nhiều sản phẩm nhưng đây là sản phẩm mà lúc mình mở ra mình kg nói nên lời vì quá thích từ cách đóng gói cho đến chất vải,các bạn nên mua vì khi bạn sờ vào nó bạn sẽ kg hối hận khi mua sản phẩm này đâu, ủng hộ shop độ uy tín và chất lượng, chúc shop buôn may bán đắt,ngàn * 👍.",Tuyệt vời
"Đầm rất đẹp, Rất đáng tiền.",Tuyệt vời
Thanks shop!,Tuyệt vời
"Chất áo được ạ, form dáng, màu in ok ạ.",Tuyệt vời
Đóng gói sản phẩm quá xấu.,Bình thường
Chất lượng quá xấu .thua cả áo 30k nữa.,Bình thường
Chất lượng tốt đẹp lên hơi rộng 1 chút.,Tốt
Áo của em bị rách một chút chỗ cánh tay ạ.,Bình thường
Khăn ảnh màu đỏ tươi thành màu đỏ chết.ko đúng màu so với ảnh.,Bình thường
Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh.,Tuyệt vời
Đặt vì sợ bạn ý ko gửi kịp và có mã khuyến mãi vận chuyển nữa.,Tốt
Sẽ ủng hộ shop lần sau.,Tuyệt vời
Quần hơi rộng.,Tốt
"Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền. 76,100 mà vận chuyển thu 77,000 😩.",Tuyệt vời
hình 3 màu mà giao màu đen duy nhất.,Tệ
Hình đẹp !!!!,Tuyệt vời
"Quần đẹp, chủ shop dễ thương còn đc tặng thêm cuốn sổ nhỏ mini cute ưng lắm , sẽ ủng hộ shop dài dài ♥♥.",Tuyệt vời
Có mẫu báo là hàng su nhưng k phải.,Tuyệt vời
"Chất lượng sản phẩm tốt, giống hình.",Tốt
"Chất lượng sản phẩm tuyệt vời, Packing siêu đẹp.",Tuyệt vời
Áo trắng bị dính bẩn.,Bình thường
"5 sao cho shop, không chê vào đâu được.",Tuyệt vời
Nhìn lại thì đường chỉ may chỉ có đường vắt sổ.,Bình thường
Mẫu áo nhìn quê mùa.,Bình thường
Chất lượng sản phẩm tuyệt vời.,Tuyệt vời
Xem hình tự hiểu.,Bình thường
Sản phẩm ok trong tầm giá.,Tốt
Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền Thời gian giao hàng rất nhanh.,Tuyệt vời
Vải bị xước mấy chỗ.,Bình thường
Còn được tặng thêm 1 gói mask và cả bức thư xinh xinhh nữa ❤.,Tuyệt vời
"Chất lượng sản phẩm kém, vải quần k f là vải len chỉ là thun mỏng.",Rất tệ
K giống hinh.,Bình thường
"Mềm,đẹp,nên tăng giá chút tặng luôn áo gối cho đỡ dơ,màu trắng này dơ.",Tốt
bộ đồ chẳng mặc được.khiếp mua trên mạng .,Rất tệ
Mình rất hài lòng về sản phẩm.,Tuyệt vời
Shop không có màu sản phẩm như mình đặt nhưng ko báo cho mình biết trước khi giao hàng.,Tệ
"Đóng gói sản phẩm chắc chắn, giao hàng nhanh.",Tuyệt vời
Bạn nào 48-50kg sẽ mặc đẹp.,Bình thường
Chúc shop đắt hàng nhé.,Tuyệt vời
Có điều là áo hơi ngắn hơn ảnh!,Bình thường
"Chất vải nóng , toàn chất poly.",Rất tệ
Hàng đẹp.,Tuyệt vời
giày rất đẹp và thời gian giao hàng cực nhanh ❤️❤️.,Tuyệt vời
"Chất mịn đẹp, nhưng size rộng hơn so với quần legging ko bầu.",Tuyệt vời
Sp giống ảnh.,Bình thường
"Sp giống hình, k xuất sắc như mong đợi.",Bình thường
Áo giống hình cute nhưng chất vải mặc hơi bí không được như mong đợi hơi thất vọng.,Bình thường
Sp có tem của nhà phân phối Digiworld nhưng mình không thấy tem bạc chống hàng giả trên vỏ hộp và trên thân pin.,Tuyệt vời
Sp len hơi mỏng.,Bình thường
Lúc pha k chảy mà bé bú đc mấy hơi là chảy sữa 😌.,Bình thường
K có gì để chê.,Tuyệt vời
Đẹp.,Tuyệt vời
Sờ chất ok.,Bình thường
Form rất chuẩn mặc rất thoải mái.,Tuyệt vời
Shop đáng tin tưởng.,Tuyệt vời
Váy đẹp đẹp y hình.,Tuyệt vời
"Váy giống mô tả, ren đẹp.",Tuyệt vời
Bestttt.,Tuyệt vời
Đóng gói sản phẩm rất đẹp và chắc chắn.,Tuyệt vời
Đóng gói sản phẩm chắc chắn Shop phục vụ khá tốt.,Tuyệt vời
Cơ mà tiền nào của ý.,Bình thường
Áo của sh siêu đẹp i hình 100% lun !,Tuyệt vời
Chất lượng sp rất tốt ❤️❤️❤️.,Tuyệt vời
Sẽ không bao giờ mua hàng trên shoppe nữa.,Rất tệ
Mặc lên khá đẹp.,Tốt
Shop chuẩn bị hàng nhanh nhưng túi dùng 1 hôm bị tuột chỉ.,Bình thường
Áo chật quá ko mặc đc.,Rất tệ
Giày chất đẹp nơ đẹp quá rẻ và đẹp.,Tuyệt vời
Phù hợp vs giá Đóng gói sản phẩm tạm được.,Tốt
Chất lượng cực kì tốt nha m.n.,Tuyệt vời
Không hài lòng.,Rất tệ
Đẹp ngoài sức tưởng tượng luôn.,Tuyệt vời
Sẽ ủng hộ shop dài.,Tuyệt vời
Nói chung mình ko hài lòng với sản phẩm và thái độ phục vụ của shop.,Rất tệ
Áo bị mốc kim đen ;)).,Tệ
